sample_id,text,morse,clean_file,noisy_file,audio_file,message_id,wpm,snr_requested_db,snr_actual_db,tone_hz,sample_rate,rise_fall_ms,noise_type,seed_base,seed_message,seed_wpm,seed_snr
msg000_wpm10_snr+20db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm10_clean.npy,msg000_wpm10_snr+20db_tone700.npy,msg000_wpm10_snr+20db_tone700.wav,0,10,20,20.00881,700,8000,5.0,AWGN,42,0,1,2
msg000_wpm10_snr+10db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm10_clean.npy,msg000_wpm10_snr+10db_tone700.npy,msg000_wpm10_snr+10db_tone700.wav,0,10,10,9.972759,700,8000,5.0,AWGN,42,0,1,3
msg000_wpm10_snr+05db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm10_clean.npy,msg000_wpm10_snr+05db_tone700.npy,msg000_wpm10_snr+05db_tone700.wav,0,10,5,4.980525,700,8000,5.0,AWGN,42,0,1,4
msg000_wpm10_snr+00db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm10_clean.npy,msg000_wpm10_snr+00db_tone700.npy,msg000_wpm10_snr+00db_tone700.wav,0,10,0,0.04269646,700,8000,5.0,AWGN,42,0,1,5
msg000_wpm10_snr-05db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm10_clean.npy,msg000_wpm10_snr-05db_tone700.npy,msg000_wpm10_snr-05db_tone700.wav,0,10,-5,-4.9940658,700,8000,5.0,AWGN,42,0,1,6
msg000_wpm10_snr-10db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm10_clean.npy,msg000_wpm10_snr-10db_tone700.npy,msg000_wpm10_snr-10db_tone700.wav,0,10,-10,-9.975006,700,8000,5.0,AWGN,42,0,1,7
msg000_wpm15_snr+40db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm15_clean.npy,msg000_wpm15_snr+40db_tone700.npy,msg000_wpm15_snr+40db_tone700.wav,0,15,40,40.008408,700,8000,5.0,AWGN,42,0,2,0
msg000_wpm15_snr+30db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm15_clean.npy,msg000_wpm15_snr+30db_tone700.npy,msg000_wpm15_snr+30db_tone700.wav,0,15,30,29.997147,700,8000,5.0,AWGN,42,0,2,1
msg000_wpm15_snr+20db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm15_clean.npy,msg000_wpm15_snr+20db_tone700.npy,msg000_wpm15_snr+20db_tone700.wav,0,15,20,20.00184,700,8000,5.0,AWGN,42,0,2,2
msg000_wpm15_snr+10db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm15_clean.npy,msg000_wpm15_snr+10db_tone700.npy,msg000_wpm15_snr+10db_tone700.wav,0,15,10,10.004931,700,8000,5.0,AWGN,42,0,2,3
msg000_wpm15_snr+05db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm15_clean.npy,msg000_wpm15_snr+05db_tone700.npy,msg000_wpm15_snr+05db_tone700.wav,0,15,5,4.984729,700,8000,5.0,AWGN,42,0,2,4
msg000_wpm15_snr+00db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm15_clean.npy,msg000_wpm15_snr+00db_tone700.npy,msg000_wpm15_snr+00db_tone700.wav,0,15,0,0.01747974,700,8000,5.0,AWGN,42,0,2,5
msg000_wpm15_snr-05db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm15_clean.npy,msg000_wpm15_snr-05db_tone700.npy,msg000_wpm15_snr-05db_tone700.wav,0,15,-5,-4.9640927,700,8000,5.0,AWGN,42,0,2,6
msg000_wpm15_snr-10db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm15_clean.npy,msg000_wpm15_snr-10db_tone700.npy,msg000_wpm15_snr-10db_tone700.wav,0,15,-10,-9.968571,700,8000,5.0,AWGN,42,0,2,7
msg000_wpm20_snr+40db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm20_clean.npy,msg000_wpm20_snr+40db_tone700.npy,msg000_wpm20_snr+40db_tone700.wav,0,20,40,40.02568,700,8000,5.0,AWGN,42,0,3,0
msg000_wpm20_snr+30db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm20_clean.npy,msg000_wpm20_snr+30db_tone700.npy,msg000_wpm20_snr+30db_tone700.wav,0,20,30,29.979137,700,8000,5.0,AWGN,42,0,3,1
msg000_wpm20_snr+20db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm20_clean.npy,msg000_wpm20_snr+20db_tone700.npy,msg000_wpm20_snr+20db_tone700.wav,0,20,20,20.01757,700,8000,5.0,AWGN,42,0,3,2
msg000_wpm20_snr+10db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm20_clean.npy,msg000_wpm20_snr+10db_tone700.npy,msg000_wpm20_snr+10db_tone700.wav,0,20,10,10.008326,700,8000,5.0,AWGN,42,0,3,3
msg000_wpm20_snr+05db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm20_clean.npy,msg000_wpm20_snr+05db_tone700.npy,msg000_wpm20_snr+05db_tone700.wav,0,20,5,4.994455,700,8000,5.0,AWGN,42,0,3,4
msg000_wpm20_snr+00db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm20_clean.npy,msg000_wpm20_snr+00db_tone700.npy,msg000_wpm20_snr+00db_tone700.wav,0,20,0,-0.027753081,700,8000,5.0,AWGN,42,0,3,5
msg000_wpm20_snr-05db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm20_clean.npy,msg000_wpm20_snr-05db_tone700.npy,msg000_wpm20_snr-05db_tone700.wav,0,20,-5,-5.020368,700,8000,5.0,AWGN,42,0,3,6
msg000_wpm20_snr-10db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm20_clean.npy,msg000_wpm20_snr-10db_tone700.npy,msg000_wpm20_snr-10db_tone700.wav,0,20,-10,-9.988672,700,8000,5.0,AWGN,42,0,3,7
msg000_wpm25_snr+40db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm25_clean.npy,msg000_wpm25_snr+40db_tone700.npy,msg000_wpm25_snr+40db_tone700.wav,0,25,40,39.968666,700,8000,5.0,AWGN,42,0,4,0
msg000_wpm25_snr+30db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm25_clean.npy,msg000_wpm25_snr+30db_tone700.npy,msg000_wpm25_snr+30db_tone700.wav,0,25,30,29.947004,700,8000,5.0,AWGN,42,0,4,1
msg000_wpm25_snr+20db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm25_clean.npy,msg000_wpm25_snr+20db_tone700.npy,msg000_wpm25_snr+20db_tone700.wav,0,25,20,19.993624,700,8000,5.0,AWGN,42,0,4,2
msg000_wpm25_snr+10db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm25_clean.npy,msg000_wpm25_snr+10db_tone700.npy,msg000_wpm25_snr+10db_tone700.wav,0,25,10,10.013325,700,8000,5.0,AWGN,42,0,4,3
msg000_wpm25_snr+05db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm25_clean.npy,msg000_wpm25_snr+05db_tone700.npy,msg000_wpm25_snr+05db_tone700.wav,0,25,5,5.0495243,700,8000,5.0,AWGN,42,0,4,4
msg000_wpm25_snr+00db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm25_clean.npy,msg000_wpm25_snr+00db_tone700.npy,msg000_wpm25_snr+00db_tone700.wav,0,25,0,0.039637394,700,8000,5.0,AWGN,42,0,4,5
msg000_wpm25_snr-05db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm25_clean.npy,msg000_wpm25_snr-05db_tone700.npy,msg000_wpm25_snr-05db_tone700.wav,0,25,-5,-4.958181,700,8000,5.0,AWGN,42,0,4,6
msg000_wpm25_snr-10db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm25_clean.npy,msg000_wpm25_snr-10db_tone700.npy,msg000_wpm25_snr-10db_tone700.wav,0,25,-10,-9.978623,700,8000,5.0,AWGN,42,0,4,7
msg000_wpm30_snr+40db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm30_clean.npy,msg000_wpm30_snr+40db_tone700.npy,msg000_wpm30_snr+40db_tone700.wav,0,30,40,40.034286,700,8000,5.0,AWGN,42,0,5,0
msg000_wpm30_snr+30db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm30_clean.npy,msg000_wpm30_snr+30db_tone700.npy,msg000_wpm30_snr+30db_tone700.wav,0,30,30,29.981783,700,8000,5.0,AWGN,42,0,5,1
msg000_wpm30_snr+20db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm30_clean.npy,msg000_wpm30_snr+20db_tone700.npy,msg000_wpm30_snr+20db_tone700.wav,0,30,20,20.020008,700,8000,5.0,AWGN,42,0,5,2
msg000_wpm30_snr+10db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm30_clean.npy,msg000_wpm30_snr+10db_tone700.npy,msg000_wpm30_snr+10db_tone700.wav,0,30,10,10.023386,700,8000,5.0,AWGN,42,0,5,3
msg000_wpm30_snr+05db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm30_clean.npy,msg000_wpm30_snr+05db_tone700.npy,msg000_wpm30_snr+05db_tone700.wav,0,30,5,5.001027,700,8000,5.0,AWGN,42,0,5,4
msg000_wpm30_snr+00db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm30_clean.npy,msg000_wpm30_snr+00db_tone700.npy,msg000_wpm30_snr+00db_tone700.wav,0,30,0,-0.0042618853,700,8000,5.0,AWGN,42,0,5,5
msg000_wpm30_snr-05db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm30_clean.npy,msg000_wpm30_snr-05db_tone700.npy,msg000_wpm30_snr-05db_tone700.wav,0,30,-5,-4.953157,700,8000,5.0,AWGN,42,0,5,6
msg000_wpm30_snr-10db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm30_clean.npy,msg000_wpm30_snr-10db_tone700.npy,msg000_wpm30_snr-10db_tone700.wav,0,30,-10,-10.04114,700,8000,5.0,AWGN,42,0,5,7
msg001_wpm05_snr+40db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm05_clean.npy,msg001_wpm05_snr+40db_tone700.npy,msg001_wpm05_snr+40db_tone700.wav,1,5,40,40.01253,700,8000,5.0,AWGN,42,1,0,0
msg001_wpm05_snr+30db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm05_clean.npy,msg001_wpm05_snr+30db_tone700.npy,msg001_wpm05_snr+30db_tone700.wav,1,5,30,29.991362,700,8000,5.0,AWGN,42,1,0,1
msg001_wpm05_snr+20db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm05_clean.npy,msg001_wpm05_snr+20db_tone700.npy,msg001_wpm05_snr+20db_tone700.wav,1,5,20,19.999823,700,8000,5.0,AWGN,42,1,0,2
msg001_wpm05_snr+10db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm05_clean.npy,msg001_wpm05_snr+10db_tone700.npy,msg001_wpm05_snr+10db_tone700.wav,1,5,10,9.999732,700,8000,5.0,AWGN,42,1,0,3
msg001_wpm05_snr+05db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm05_clean.npy,msg001_wpm05_snr+05db_tone700.npy,msg001_wpm05_snr+05db_tone700.wav,1,5,5,5.005653,700,8000,5.0,AWGN,42,1,0,4
msg001_wpm05_snr+00db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm05_clean.npy,msg001_wpm05_snr+00db_tone700.npy,msg001_wpm05_snr+00db_tone700.wav,1,5,0,-0.0010223573,700,8000,5.0,AWGN,42,1,0,5
msg001_wpm05_snr-05db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm05_clean.npy,msg001_wpm05_snr-05db_tone700.npy,msg001_wpm05_snr-05db_tone700.wav,1,5,-5,-4.9953256,700,8000,5.0,AWGN,42,1,0,6
msg001_wpm05_snr-10db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm05_clean.npy,msg001_wpm05_snr-10db_tone700.npy,msg001_wpm05_snr-10db_tone700.wav,1,5,-10,-9.993958,700,8000,5.0,AWGN,42,1,0,7
msg001_wpm10_snr+40db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm10_clean.npy,msg001_wpm10_snr+40db_tone700.npy,msg001_wpm10_snr+40db_tone700.wav,1,10,40,40.011185,700,8000,5.0,AWGN,42,1,1,0
msg001_wpm10_snr+30db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm10_clean.npy,msg001_wpm10_snr+30db_tone700.npy,msg001_wpm10_snr+30db_tone700.wav,1,10,30,29.976513,700,8000,5.0,AWGN,42,1,1,1
msg001_wpm10_snr+20db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm10_clean.npy,msg001_wpm10_snr+20db_tone700.npy,msg001_wpm10_snr+20db_tone700.wav,1,10,20,20.01633,700,8000,5.0,AWGN,42,1,1,2
msg001_wpm10_snr+10db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm10_clean.npy,msg001_wpm10_snr+10db_tone700.npy,msg001_wpm10_snr+10db_tone700.wav,1,10,10,10.031003,700,8000,5.0,AWGN,42,1,1,3
msg001_wpm10_snr+05db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm10_clean.npy,msg001_wpm10_snr+05db_tone700.npy,msg001_wpm10_snr+05db_tone700.wav,1,10,5,5.00155,700,8000,5.0,AWGN,42,1,1,4
msg001_wpm10_snr+00db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm10_clean.npy,msg001_wpm10_snr+00db_tone700.npy,msg001_wpm10_snr+00db_tone700.wav,1,10,0,0.028860455,700,8000,5.0,AWGN,42,1,1,5
msg001_wpm10_snr-05db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm10_clean.npy,msg001_wpm10_snr-05db_tone700.npy,msg001_wpm10_snr-05db_tone700.wav,1,10,-5,-4.9928646,700,8000,5.0,AWGN,42,1,1,6
msg001_wpm10_snr-10db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm10_clean.npy,msg001_wpm10_snr-10db_tone700.npy,msg001_wpm10_snr-10db_tone700.wav,1,10,-10,-10.000695,700,8000,5.0,AWGN,42,1,1,7
msg001_wpm15_snr+40db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm15_clean.npy,msg001_wpm15_snr+40db_tone700.npy,msg001_wpm15_snr+40db_tone700.wav,1,15,40,39.992752,700,8000,5.0,AWGN,42,1,2,0
msg001_wpm15_snr+30db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm15_clean.npy,msg001_wpm15_snr+30db_tone700.npy,msg001_wpm15_snr+30db_tone700.wav,1,15,30,30.020584,700,8000,5.0,AWGN,42,1,2,1
msg001_wpm15_snr+20db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm15_clean.npy,msg001_wpm15_snr+20db_tone700.npy,msg001_wpm15_snr+20db_tone700.wav,1,15,20,19.996767,700,8000,5.0,AWGN,42,1,2,2
msg001_wpm15_snr+10db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm15_clean.npy,msg001_wpm15_snr+10db_tone700.npy,msg001_wpm15_snr+10db_tone700.wav,1,15,10,9.97219,700,8000,5.0,AWGN,42,1,2,3
msg001_wpm15_snr+05db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm15_clean.npy,msg001_wpm15_snr+05db_tone700.npy,msg001_wpm15_snr+05db_tone700.wav,1,15,5,5.0088973,700,8000,5.0,AWGN,42,1,2,4
msg001_wpm15_snr+00db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm15_clean.npy,msg001_wpm15_snr+00db_tone700.npy,msg001_wpm15_snr+00db_tone700.wav,1,15,0,-0.023108944,700,8000,5.0,AWGN,42,1,2,5
msg001_wpm15_snr-05db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm15_clean.npy,msg001_wpm15_snr-05db_tone700.npy,msg001_wpm15_snr-05db_tone700.wav,1,15,-5,-5.016926,700,8000,5.0,AWGN,42,1,2,6
msg001_wpm15_snr-10db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm15_clean.npy,msg001_wpm15_snr-10db_tone700.npy,msg001_wpm15_snr-10db_tone700.wav,1,15,-10,-9.994684,700,8000,5.0,AWGN,42,1,2,7
msg001_wpm20_snr+40db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm20_clean.npy,msg001_wpm20_snr+40db_tone700.npy,msg001_wpm20_snr+40db_tone700.wav,1,20,40,40.015144,700,8000,5.0,AWGN,42,1,3,0
msg001_wpm20_snr+30db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm20_clean.npy,msg001_wpm20_snr+30db_tone700.npy,msg001_wpm20_snr+30db_tone700.wav,1,20,30,29.985329,700,8000,5.0,AWGN,42,1,3,1
msg001_wpm20_snr+20db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm20_clean.npy,msg001_wpm20_snr+20db_tone700.npy,msg001_wpm20_snr+20db_tone700.wav,1,20,20,20.02572,700,8000,5.0,AWGN,42,1,3,2
msg001_wpm20_snr+10db,CQ DX CQ DX DE VA3FMU K,-.-. --.- / -.. -..- / -.-. --.- / -.. -..- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg001_wpm20_clean.npy,msg001_wpm20_snr+10db_tone700.npy,msg001_wpm20_snr+10db_tone700.wav,1,20,10,10.005746,700,8000,5.0,AWGN,42,1,3,3
